,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
75058,Grayson County,Grayson County,3286,842,911,860,866,932,882,2688,2581,19,0,14,36,0,38,550,383,0,0,0,0,136,31,1011,46,932,185,19.85%,7,12,71,8,0,0,65,0,18,0,0,4,0,2,0,123,0,125,0.00%,0,N/A,N/A,N/A,N/A,0,882,0.00%,28,882,3.17%,858,1,N/A,1,596,364,373
75060,Dallas County,Dallas County,47608,13933,14542,15135,14838,15103,14710,20499,15127,2242,51,2564,0,172,343,25910,17837,263,501,29,0,6701,579,14576,1563,15103,4066,26.92%,380,73,1009,555,120,142,478,145,609,264,111,180,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,2,14710,0.01%,501,14710,3.41%,1156,N/A,1090,1381,652,1069.75,1494
75061,Dallas County,Dallas County,53303,15842,16141,16379,16378,16296,16207,19484,12412,4720,43,1839,0,93,377,33749,21705,270,220,6,0,11114,434,17391,1620,16296,4934,30.28%,875,147,948,364,112,167,912,93,764,249,100,203,N/A,N/A,N/A,N/A,0,N/A,N/A,*,7,N/A,N/A,26.92%,4,16207,0.02%,551,16207,3.40%,1277,N/A,1308,1533,649,1191.75,1619
75062,Dallas County,Dallas County,46469,11808,11630,11941,11959,12134,11894,26503,16004,6023,74,3371,51,154,826,19697,14592,30,12,25,0,4395,643,16441,1104,12134,2974,24.51%,576,66,350,182,109,105,560,91,489,225,107,114,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,5,11894,0.04%,444,11894,3.73%,1055,N/A,1090,1736,744,1156.25,1581
75063,Dallas County,Dallas County,36670,8456,8808,8326,8957,9118,8733,33258,11741,6209,148,13827,16,202,1115,3167,2351,95,64,60,0,413,184,15502,1120,9118,682,7.48%,48,6,72,46,0,60,92,21,193,88,19,37,N/A,N/A,N/A,N/A,4,N/A,N/A,*,3,N/A,N/A,11.54%,1,8733,0.01%,116,8733,1.33%,369,N/A,824,1381,219,698.25,977
75065,Denton County,Denton County,11369,2960,3001,2754,2592,2806,2823,9372,8433,204,35,300,0,4,396,1661,1412,32,0,0,0,92,125,4073,198,2806,58,2.07%,0,0,11,5,0,6,0,0,24,0,0,12,0,21,7,116,0,144,4.86%,*,3,N/A,N/A,11.54%,0,2823,0.00%,100,2823,3.54%,186,1165,824,1,691,573.4,723
75067,Dallas County,Dallas County;Denton County,63167,15657,16007,16113,16203,16480,16092,42773,29550,5766,53,5190,24,10,2180,19043,14965,393,0,23,0,1866,1796,24308,2402,16480,2940,17.84%,638,171,559,133,30,95,491,106,520,137,41,19,N/A,N/A,N/A,N/A,0,N/A,N/A,21,5,N/A,N/A,19.23%,0,16092,0.00%,522,16092,3.24%,780,N/A,1090,1,612,620.75,806
75067,Denton County,Dallas County;Denton County,63167,15657,16007,16113,16203,16480,16092,42773,29550,5766,53,5190,24,10,2180,19043,14965,393,0,23,0,1866,1796,24308,2402,16480,2940,17.84%,638,171,559,133,30,95,491,106,520,137,41,19,N/A,N/A,N/A,N/A,0,N/A,N/A,21,5,N/A,N/A,19.23%,0,16092,0.00%,522,16092,3.24%,780,N/A,1090,1,612,620.75,806
75068,Denton County,Denton County,42162,11714,11456,12380,12899,13872,12464,30028,21300,5704,93,1243,8,636,1044,8922,7380,0,294,42,0,786,420,12266,1225,13872,1561,11.25%,166,33,368,46,36,81,206,93,417,99,0,16,0,0,0,860,0,860,0.00%,15,5,N/A,N/A,19.23%,1,12464,0.01%,343,12464,2.75%,513,1,1090,1381,507,698.4,978
75069,Collin County,Collin County,35321,9108,9012,9135,9065,9408,9146,22294,18315,3080,29,396,0,170,304,12177,10589,94,13,6,0,1361,114,12376,996,9408,2449,26.03%,431,85,288,342,0,424,334,58,256,126,61,44,19,19,95,1065,77,1198,9.52%,*,5,N/A,N/A,19.23%,1,9146,0.01%,465,9146,5.08%,1116,1382,1090,1381,1093,1212.4,1635
75070,Collin County,Collin County,82195,24276,23152,24406,25927,26594,24871,69271,55060,7265,344,4901,10,182,1509,9566,8019,310,0,37,18,596,586,25818,1907,26594,1520,5.72%,296,45,189,104,36,146,150,27,194,178,6,149,8,0,33,2496,0,2537,1.62%,10,6,N/A,N/A,23.08%,0,24871,0.00%,476,24871,1.91%,300,936,1209,1,325,554.2,681
75071,Collin County,Collin County,41096,11455,10586,10954,11234,11841,11214,32540,25748,5025,90,1198,0,33,446,6271,5678,18,27,0,0,401,147,12719,712,11841,550,4.64%,104,51,85,61,24,108,4,0,23,49,33,8,0,0,0,1325,0,1325,0.00%,13,6,N/A,N/A,23.08%,0,11214,0.00%,377,11214,3.36%,258,1,1209,1,640,421.8,456
75074,Collin County,Collin County,47436,12332,12212,12733,12795,12532,12521,29704,19402,4549,74,4882,48,40,709,16902,14419,60,168,0,0,1678,577,15365,1226,12532,2813,22.45%,459,134,497,243,13,55,450,60,393,119,133,257,0,33,10,1248,0,1291,0.77%,11,11,N/A,N/A,42.31%,1,12521,0.01%,541,12521,4.32%,965,875,1648,1381,905,1154.8,1579
75075,Collin County,Collin County,34345,7289,7202,7275,7602,7683,7410,28651,22916,1913,89,2931,22,2,778,5233,4551,13,0,24,0,348,297,13123,634,7683,704,9.16%,85,21,92,95,0,8,132,45,77,87,0,62,N/A,N/A,N/A,N/A,0,N/A,N/A,*,3,N/A,N/A,11.54%,0,7410,0.00%,226,7410,3.05%,419,N/A,824,1,564,452,495
75076,Grayson County,Grayson County,7327,1393,1426,1437,1473,1306,1407,7111,6768,69,149,26,0,0,99,430,334,0,0,0,0,45,51,3149,154,1306,252,19.30%,0,5,47,21,26,25,33,0,23,57,0,15,2,0,0,157,0,159,1.26%,11,5,N/A,N/A,19.23%,0,1407,0.00%,98,1407,6.97%,833,907,1090,1,1462,858.6,1206
75077,Denton County,Denton County,36658,9422,9663,9692,9673,9235,9537,32696,28047,2165,12,1634,29,33,776,3864,3149,120,5,0,0,493,97,12751,568,9235,838,9.07%,92,0,91,49,12,29,112,6,193,160,60,34,0,0,0,1169,17,1169,0.00%,11,6,N/A,N/A,23.08%,1,9537,0.01%,132,9537,1.38%,416,1,1209,1381,229,647.2,876
75078,Collin County,Collin County;Denton County,13229,3691,3667,4069,4296,4932,4131,10543,9325,751,24,386,0,8,49,1140,1051,0,0,8,0,77,4,3602,187,4932,460,9.33%,12,15,168,23,0,0,126,0,57,27,23,9,0,0,0,375,0,375,0.00%,*,2,N/A,N/A,7.69%,0,4131,0.00%,95,4131,2.30%,423,1,684,1,402,302.2,274
75078,Denton County,Collin County;Denton County,13229,3691,3667,4069,4296,4932,4131,10543,9325,751,24,386,0,8,49,1140,1051,0,0,8,0,77,4,3602,187,4932,460,9.33%,12,15,168,23,0,0,126,0,57,27,23,9,0,0,0,375,0,375,0.00%,*,2,N/A,N/A,7.69%,0,4131,0.00%,95,4131,2.30%,423,1,684,1,402,302.2,274
75080,Collin County,Collin County;Dallas County,46820,9642,9772,9621,10086,10067,9838,35294,27261,2362,77,4358,278,109,849,10322,5810,0,4,47,31,4154,276,17357,1135,10067,1622,16.11%,196,88,216,159,31,71,239,114,308,95,14,91,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,0,9838,0.00%,249,9838,2.53%,713,N/A,1090,1,449,563.25,702
75080,Dallas County,Collin County;Dallas County,46820,9642,9772,9621,10086,10067,9838,35294,27261,2362,77,4358,278,109,849,10322,5810,0,4,47,31,4154,276,17357,1135,10067,1622,16.11%,196,88,216,159,31,71,239,114,308,95,14,91,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,0,9838,0.00%,249,9838,2.53%,713,N/A,1090,1,449,563.25,702
75081,Dallas County,Dallas County,34579,7797,7327,7501,7672,6975,7454,29506,18139,4159,141,6056,34,0,977,4780,2760,75,37,54,0,1441,413,13208,899,6975,938,13.45%,209,21,105,158,0,88,120,27,108,74,3,25,N/A,N/A,N/A,N/A,3,N/A,N/A,*,7,N/A,N/A,26.92%,1,7454,0.01%,202,7454,2.71%,592,N/A,1308,1381,494,943.75,1323
75082,Collin County,Collin County;Dallas County,22417,5647,5485,5465,5444,5634,5535,19817,12630,1440,74,4777,0,0,896,1853,1431,19,63,8,0,168,164,7859,318,5634,151,2.68%,51,0,3,11,10,15,34,0,10,17,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,0,5535,0.00%,54,5535,0.98%,199,N/A,467,1,189,214,188
75082,Dallas County,Collin County;Dallas County,22417,5647,5485,5465,5444,5634,5535,19817,12630,1440,74,4777,0,0,896,1853,1431,19,63,8,0,168,164,7859,318,5634,151,2.68%,51,0,3,11,10,15,34,0,10,17,0,0,N/A,N/A,N/A,N/A,0,N/A,N/A,*,1,N/A,N/A,3.85%,0,5535,0.00%,54,5535,0.98%,199,N/A,467,1,189,214,188
75087,Collin County,Collin County;Rockwall County,30632,7873,7495,8296,8532,8511,8141,26288,22980,1293,125,863,209,40,778,3342,2633,16,0,18,14,532,129,9904,653,8511,391,4.59%,89,9,13,0,14,84,70,0,60,33,0,19,N/A,N/A,N/A,N/A,6,N/A,N/A,*,5,N/A,N/A,19.23%,1,8141,0.01%,148,8141,1.82%,255,N/A,1090,1381,310,759,1067
75087,Rockwall County,Collin County;Rockwall County,30632,7873,7495,8296,8532,8511,8141,26288,22980,1293,125,863,209,40,778,3342,2633,16,0,18,14,532,129,9904,653,8511,391,4.59%,89,9,13,0,14,84,70,0,60,33,0,19,N/A,N/A,N/A,N/A,6,N/A,N/A,*,5,N/A,N/A,19.23%,1,8141,0.01%,148,8141,1.82%,255,N/A,1090,1381,310,759,1067
75088,Dallas County,Dallas County;Rockwall County,26083,6477,7188,6550,6563,6183,6592,21529,15744,3730,39,1449,0,0,567,4708,3966,16,0,0,0,554,172,8771,556,6183,300,4.85%,7,21,57,57,30,18,8,0,55,23,0,24,N/A,N/A,N/A,N/A,7,N/A,N/A,*,1,N/A,N/A,3.85%,1,6592,0.02%,231,6592,3.50%,268,N/A,467,1533,681,737.25,1037
75088,Rockwall County,Dallas County;Rockwall County,26083,6477,7188,6550,6563,6183,6592,21529,15744,3730,39,1449,0,0,567,4708,3966,16,0,0,0,554,172,8771,556,6183,300,4.85%,7,21,57,57,30,18,8,0,55,23,0,24,N/A,N/A,N/A,N/A,7,N/A,N/A,*,1,N/A,N/A,3.85%,1,6592,0.02%,231,6592,3.50%,268,N/A,467,1533,681,737.25,1037
75089,Dallas County,Dallas County;Rockwall County,30352,9547,8960,8339,8463,8486,8759,23824,16750,4584,54,1929,68,0,439,5816,3841,301,55,25,0,1088,506,9345,678,8486,700,8.25%,98,28,32,42,53,85,97,13,148,0,0,104,N/A,N/A,N/A,N/A,2,N/A,N/A,*,2,N/A,N/A,7.69%,0,8759,0.00%,187,8759,2.13%,395,N/A,684,1,369,362.25,368
75089,Rockwall County,Dallas County;Rockwall County,30352,9547,8960,8339,8463,8486,8759,23824,16750,4584,54,1929,68,0,439,5816,3841,301,55,25,0,1088,506,9345,678,8486,700,8.25%,98,28,32,42,53,85,97,13,148,0,0,104,N/A,N/A,N/A,N/A,2,N/A,N/A,*,2,N/A,N/A,7.69%,0,8759,0.00%,187,8759,2.13%,395,N/A,684,1,369,362.25,368
75090,Grayson County,Grayson County,23908,6280,5999,5911,6295,6441,6185,18400,14229,3232,35,332,0,0,572,5433,3532,9,0,0,0,1650,242,8077,1003,6441,1831,28.43%,274,62,471,97,24,49,297,50,300,58,61,88,59,19,81,862,0,1021,13.71%,62,8,N/A,N/A,30.77%,2,6185,0.03%,547,6185,8.84%,1212,1485,1409,1660,1641,1481.4,1861
75092,Grayson County,Grayson County,22633,5272,4976,5240,4903,5036,5085,19471,16663,1427,482,355,14,0,530,2911,1585,34,87,11,15,949,230,9536,762,5036,598,11.87%,32,12,108,19,0,0,136,0,245,27,0,19,0,8,19,705,0,732,2.60%,40,N/A,N/A,N/A,N/A,1,5085,0.02%,266,5085,5.23%,537,1005,N/A,1533,1116,1047.75,1467
75093,Collin County,Collin County;Denton County,48249,11896,12120,11518,11396,11721,11730,43427,32429,2096,274,7177,69,122,1260,3563,2488,201,0,0,0,675,199,18984,1136,11721,941,8.03%,72,0,83,110,118,122,60,0,164,131,0,81,NA,NA,NA,NA,0,N/A,N/A,*,7,N/A,N/A,26.92%,2,11730,0.02%,167,11730,1.42%,389,N/A,1308,1533,239,867.25,1218
75093,Denton County,Collin County;Denton County,48249,11896,12120,11518,11396,11721,11730,43427,32429,2096,274,7177,69,122,1260,3563,2488,201,0,0,0,675,199,18984,1136,11721,941,8.03%,72,0,83,110,118,122,60,0,164,131,0,81,NA,NA,NA,NA,0,N/A,N/A,*,7,N/A,N/A,26.92%,2,11730,0.02%,167,11730,1.42%,389,N/A,1308,1533,239,867.25,1218
75094,Collin County,Collin County,21541,7397,7068,7190,7139,7263,7211,19272,10616,2257,92,5977,0,65,265,1264,1078,19,0,41,0,70,56,5733,176,7263,257,3.54%,0,0,54,17,0,0,0,10,37,28,111,0,0,0,60,869,4,929,6.46%,0,1,N/A,N/A,3.85%,0,7211,0.00%,107,7211,1.48%,222,1251,467,1,251,438.4,471
75098,Collin County,Collin County;Dallas County;Rockwall County,49571,15747,14769,14887,15007,15241,15130,41063,31945,5152,254,2557,65,0,1090,7548,5559,21,0,10,0,1429,529,15814,1126,15241,993,6.52%,86,37,179,134,42,142,65,0,177,99,27,5,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,2,15130,0.01%,563,15130,3.72%,327,N/A,684,1381,736,782,1099
75098,Dallas County,Collin County;Dallas County;Rockwall County,49571,15747,14769,14887,15007,15241,15130,41063,31945,5152,254,2557,65,0,1090,7548,5559,21,0,10,0,1429,529,15814,1126,15241,993,6.52%,86,37,179,134,42,142,65,0,177,99,27,5,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,2,15130,0.01%,563,15130,3.72%,327,N/A,684,1381,736,782,1099
75098,Rockwall County,Collin County;Dallas County;Rockwall County,49571,15747,14769,14887,15007,15241,15130,41063,31945,5152,254,2557,65,0,1090,7548,5559,21,0,10,0,1429,529,15814,1126,15241,993,6.52%,86,37,179,134,42,142,65,0,177,99,27,5,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,2,15130,0.01%,563,15130,3.72%,327,N/A,684,1381,736,782,1099
75101,Ellis County,Ellis County,664,211,231,195,202,232,214,242,117,107,7,0,0,0,11,342,204,12,74,0,0,49,3,185,21,232,38,16.38%,7,0,8,2,0,0,2,2,10,4,0,3,0,0,0,29,7,29,0.00%,0,N/A,N/A,N/A,N/A,0,214,0.00%,0,214,0.00%,727,1,N/A,1,1,182.5,167
75102,Navarro County,Navarro County,1173,322,271,245,257,185,256,1050,985,65,0,0,0,0,0,211,211,0,0,0,0,0,0,448,35,185,18,9.73%,0,0,2,9,2,5,0,0,0,0,0,0,0,0,0,11,3,11,0.00%,*,2,N/A,N/A,7.69%,0,256,0.00%,23,256,8.98%,443,1,684,1,1649,555.6,685
75103,Val Verde County,Val Verde County,13037,2942,3160,2997,2860,2977,2987,12179,11634,194,105,52,0,40,154,924,784,0,0,0,0,140,0,4811,185,2977,498,16.73%,56,16,46,87,13,10,120,0,116,7,19,8,0,0,0,471,9,471,0.00%,*,6,N/A,N/A,23.08%,1,2987,0.03%,193,2987,6.46%,738,1,1209,1660,1381,997.8,1395
75104,Dallas County,Dallas County;Ellis County,46818,13587,13203,13817,13688,13704,13600,38041,11793,23986,101,1259,1,59,842,7894,6040,92,6,30,0,1483,243,15668,1836,13704,1944,14.19%,168,30,344,124,76,93,274,56,405,193,67,114,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,0,13600,0.00%,563,13600,4.14%,624,N/A,1090,1,865,645,871
75104,Ellis County,Dallas County;Ellis County,46818,13587,13203,13817,13688,13704,13600,38041,11793,23986,101,1259,1,59,842,7894,6040,92,6,30,0,1483,243,15668,1836,13704,1944,14.19%,168,30,344,124,76,93,274,56,405,193,67,114,N/A,N/A,N/A,N/A,0,N/A,N/A,*,5,N/A,N/A,19.23%,0,13600,0.00%,563,13600,4.14%,624,N/A,1090,1,865,645,871
75105,Navarro County,Navarro County,148,77,55,50,47,32,52,200,190,10,0,0,0,0,0,5,5,0,0,0,0,0,0,96,6,32,1,3.13%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,11,0.00%,0,N/A,N/A,N/A,N/A,0,52,0.00%,4,52,7.66%,211,1,N/A,1,1533,436.5,469
75109,Navarro County,Navarro County,4047,878,965,953,915,947,932,3816,3608,138,3,6,0,0,61,375,285,0,0,0,0,88,2,1591,72,947,106,11.19%,0,10,23,15,1,0,3,2,47,2,3,0,0,0,0,141,16,141,0.00%,*,1,N/A,N/A,3.85%,1,932,0.11%,44,932,4.72%,508,1,467,1874,1011,772.2,1083
75110,Navarro County,Navarro County,28247,7846,7661,7399,7600,7686,7638,19520,13592,5363,41,287,5,0,232,8381,6105,38,871,0,0,1049,318,9922,1157,7686,2996,38.98%,612,115,441,75,37,86,689,102,585,169,26,59,34,0,0,796,0,830,4.10%,*,6,N/A,N/A,23.08%,1,7638,0.01%,454,7638,5.94%,1493,1113,1209,1381,1277,1294.6,1704
75114,Kaufman County,Kaufman County,4555,1405,1303,1432,1410,1331,1376,4135,3799,223,5,20,0,0,88,413,405,0,0,0,0,0,8,1428,95,1331,86,6.46%,6,0,11,0,10,0,15,0,22,12,0,10,0,0,6,213,0,219,2.74%,0,N/A,N/A,N/A,N/A,0,1376,0.00%,45,1376,3.27%,323,1012,N/A,1,627,490.75,576
75115,Dallas County,Dallas County,50619,13183,12708,12938,12677,12847,12871,44295,8861,34173,270,418,41,62,470,5544,4276,180,19,0,13,914,142,18600,1961,12847,2022,15.74%,224,56,357,87,145,249,239,115,299,111,28,112,N/A,N/A,N/A,N/A,92,N/A,N/A,*,5,N/A,N/A,19.23%,3,12871,0.02%,827,12871,6.43%,692,N/A,1090,1533,1376,1172.75,1601
75116,Dallas County,Dallas County,20404,5730,5781,5728,6203,6289,5946,10478,6116,3922,19,130,0,38,253,9657,5958,25,127,0,0,3327,220,6494,740,6289,1202,19.11%,150,30,208,36,24,56,214,11,331,131,0,11,N/A,N/A,N/A,N/A,0,N/A,N/A,12,6,N/A,N/A,23.08%,0,5946,0.00%,205,5946,3.45%,826,N/A,1209,1,663,674.75,926
75117,Van Zandt County,Van Zandt County,3423,893,670,705,664,661,719,3056,2754,242,4,26,0,0,30,251,221,0,0,0,0,26,4,1385,58,661,83,12.56%,0,4,0,18,11,12,11,0,15,9,0,3,0,3,0,65,0,68,0.00%,*,3,N/A,N/A,11.54%,0,719,0.00%,71,719,9.88%,561,1,824,1,1708,619,803
75119,Ellis County,Ellis County;Navarro County,26631,7692,7357,7394,7389,7711,7509,16710,13602,2603,25,102,0,0,378,9157,6588,48,380,0,0,1990,151,8968,861,7711,2506,32.50%,233,131,411,341,18,129,264,69,389,145,95,281,16,7,0,751,0,774,2.07%,*,4,N/A,N/A,15.38%,0,7509,0.00%,262,7509,3.49%,1341,973,952,1,677,788.8,1107
75119,Navarro County,Ellis County;Navarro County,26631,7692,7357,7394,7389,7711,7509,16710,13602,2603,25,102,0,0,378,9157,6588,48,380,0,0,1990,151,8968,861,7711,2506,32.50%,233,131,411,341,18,129,264,69,389,145,95,281,16,7,0,751,0,774,2.07%,*,4,N/A,N/A,15.38%,0,7509,0.00%,262,7509,3.49%,1341,973,952,1,677,788.8,1107
75124,Henderson County,Henderson County;Van Zandt County,4376,1034,1328,1159,938,812,1054,3664,3616,9,9,0,0,0,30,388,380,0,0,0,0,0,8,1410,73,812,172,21.18%,38,6,24,0,9,7,37,10,8,15,10,8,5,16,3,84,0,108,7.41%,*,4,N/A,N/A,15.38%,0,1054,0.00%,88,1054,8.35%,911,1302,952,1,1607,954.6,1341
75124,Van Zandt County,Henderson County;Van Zandt County,4376,1034,1328,1159,938,812,1054,3664,3616,9,9,0,0,0,30,388,380,0,0,0,0,0,8,1410,73,812,172,21.18%,38,6,24,0,9,7,37,10,8,15,10,8,5,16,3,84,0,108,7.41%,*,4,N/A,N/A,15.38%,0,1054,0.00%,88,1054,8.35%,911,1302,952,1,1607,954.6,1341
75125,Dallas County,Dallas County;Ellis County,6170,2093,2177,2075,1933,1613,1978,4561,3528,751,0,16,8,0,258,2398,1465,34,451,0,0,403,45,2233,132,1613,586,36.33%,55,17,48,62,0,5,106,12,112,65,0,104,N/A,N/A,N/A,N/A,1,N/A,N/A,0,0,N/A,N/A,0.00%,0,1978,0.00%,80,1978,4.04%,1423,N/A,1,1,837,565.5,707
75125,Ellis County,Dallas County;Ellis County,6170,2093,2177,2075,1933,1613,1978,4561,3528,751,0,16,8,0,258,2398,1465,34,451,0,0,403,45,2233,132,1613,586,36.33%,55,17,48,62,0,5,106,12,112,65,0,104,N/A,N/A,N/A,N/A,1,N/A,N/A,0,0,N/A,N/A,0.00%,0,1978,0.00%,80,1978,4.04%,1423,N/A,1,1,837,565.5,707
75126,Kaufman County,Kaufman County,35767,11275,10364,10414,10980,11721,10951,28615,23692,3631,0,198,292,8,794,5299,4161,81,0,0,0,650,407,10718,789,11721,1022,8.72%,161,11,151,153,0,5,106,108,203,43,26,55,N/A,N/A,N/A,N/A,3,N/A,N/A,*,2,N/A,N/A,7.69%,0,10951,0.00%,437,10951,3.99%,407,N/A,684,1,824,479,554
75127,Van Zandt County,Van Zandt County,1763,377,410,475,379,528,434,1383,1305,28,33,0,0,0,17,76,54,0,0,0,0,22,0,511,14,528,94,17.80%,11,4,11,6,2,4,8,0,32,3,5,8,0,0,0,48,0,48,0.00%,*,1,N/A,N/A,3.85%,0,434,0.00%,45,434,10.37%,778,1,467,1,1725,594.4,763
75132,Rockwall County,Rockwall County,1014,83,51,84,84,292,119,521,453,68,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,292,21,7.19%,8,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,18,0.00%,0,0,N/A,N/A,0.00%,0,119,0.00%,7,119,5.89%,357,1,1,1,1256,323.2,313
75134,Dallas County,Dallas County,21077,6577,6318,6334,6272,7083,6517,15943,2478,13078,16,51,0,103,217,3967,3001,59,22,0,0,716,169,6676,1000,7083,2091,29.52%,273,38,257,84,168,20,388,155,289,170,96,153,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,1,6517,0.02%,393,6517,6.03%,1255,N/A,684,1533,1308,1195,1623
75135,Hunt County,Hunt County,5545,1762,1298,1265,1526,1720,1514,4544,4251,254,10,12,0,0,17,679,328,0,0,0,0,324,27,1778,125,1720,367,21.34%,56,0,90,21,4,18,48,0,74,44,12,0,0,0,3,120,0,123,2.44%,0,0,N/A,N/A,0.00%,0,1514,0.00%,71,1514,4.69%,919,994,1,1,1005,584,742
75137,Dallas County,Dallas County,18911,5041,4719,4609,4539,4260,4634,13724,5872,7163,5,484,0,39,161,5141,3880,78,0,0,0,1093,90,6638,643,4260,785,18.43%,57,27,134,115,5,83,184,0,126,24,9,21,N/A,N/A,N/A,N/A,0,N/A,N/A,*,3,N/A,N/A,11.54%,1,4634,0.02%,171,4634,3.69%,801,N/A,824,1533,725,970.75,1364
75140,Van Zandt County,Van Zandt County,6857,1671,1708,1547,1584,1477,1597,6067,5722,6,15,18,157,0,149,822,767,0,0,0,4,29,22,2338,175,1477,545,36.90%,145,44,90,12,12,9,53,35,105,20,0,20,0,0,0,183,0,183,0.00%,*,5,N/A,N/A,19.23%,0,1597,0.00%,163,1597,10.20%,1448,1,1090,1,1721,852.2,1195
75141,Dallas County,Dallas County,5358,941,1461,1408,1348,1320,1296,3420,1265,2071,17,0,37,0,30,1927,1468,121,54,0,0,273,11,1360,72,1320,535,40.53%,101,0,96,5,15,30,41,5,142,68,32,0,N/A,N/A,N/A,N/A,0,N/A,N/A,*,2,N/A,N/A,7.69%,0,1296,0.00%,42,1296,3.24%,1536,N/A,684,1,612,708.25,992
75142,Kaufman County,Kaufman County,18240,5350,5479,5512,5291,5018,5330,14301,13324,670,30,63,0,0,214,4389,2934,114,123,0,0,1141,77,6188,569,5018,1583,31.55%,267,14,265,122,30,81,251,41,372,85,3,52,8,10,39,456,0,513,9.16%,*,4,N/A,N/A,15.38%,1,5330,0.02%,390,5330,7.32%,1311,1368,952,1533,1505,1333.8,1736
75143,Henderson County,Henderson County;Kaufman County,16175,3153,3722,3748,3770,3609,3600,14399,13641,379,188,42,0,0,149,1533,1284,14,0,0,0,139,96,6104,386,3609,1160,32.14%,172,55,130,121,81,55,195,11,188,70,19,63,0,0,23,335,40,358,6.42%,*,4,N/A,N/A,15.38%,1,3600,0.03%,218,3600,6.05%,1328,1248,952,1660,1311,1299.8,1707
75143,Kaufman County,Henderson County;Kaufman County,16175,3153,3722,3748,3770,3609,3600,14399,13641,379,188,42,0,0,149,1533,1284,14,0,0,0,139,96,6104,386,3609,1160,32.14%,172,55,130,121,81,55,195,11,188,70,19,63,0,0,23,335,40,358,6.42%,*,4,N/A,N/A,15.38%,1,3600,0.03%,218,3600,6.05%,1328,1248,952,1660,1311,1299.8,1707
